,datum,station_code,aspect,elevation,avalancheDay1,max_height,TSS_mod,prop_base_3_diff,ILWR_daily,RH_daily,ISWR_diff_daily,prop_base_1_diff,prop_wet_2_diff,prop_wet_3_diff,max_height_3_diff,lowest_2_diff,mean_lwc_3_diff,ISWR_h,mean_lwc_1_diff,max_lwc_lowest_1_diff,lowest_1_diff,OLWR,max_lwc_1_diff,sum_up_1_diff,S5,TA_daily,sum_base_1_diff,sum_up,Qs,ISWR_daily,max_lwc_2_diff,max_lwc_lowest_2_diff,max_lwc_3_diff,OLWR_daily,sum_base_3_diff,Ql,max_height_1_diff,sum_base,Qw_daily,prop_up,water_2_diff,prop_up_2_diff,MS_Sublimation,prop_wet_1_diff,sum_up_2_diff,prop_wet,RH,prop_base_2_diff,TA,lowest,std_lwc_1_diff,max_lwc,std_lwc_2_diff,prop_up_3_diff,MS_Snow_daily,prop_up_1_diff,lowest_3_diff,ISWR_dir,TSS_mod_daily,S5_daily,max_lwc_lowest,MS_Sublimation_daily,std_lwc_3_diff,LWR_net,max_height_2_diff,mean_lwc_2_diff,pAlbedo,sum_up_3_diff,max_lwc_lowest_3_diff,std_lwc,ILWR,water_3_diff,Ql_daily,water,ISWR_dir_daily,zS4_daily,ISWR_h_daily,mean_lwc,prop_base,ISWR_diff,SWE_daily,zSs_daily,HS_mod_daily,water_1_diff,sum_base_2_diff,MS_Rain_daily,MS_Rain,profile_time
10,2019-12-22,ALB2,2,2322.0,0,111.1,-4.769,0.0,258.278,83.62499999999999,30.605875,0.0,0.0,0.0,29.97999999999999,0.0,0.0,150.0,0.0,0.0,0.0,288.309,0.0,0.0,0.0,-4.8625,0.0,0.0,12.396,38.282875,0.0,0.0,0.0,278.766625,0.0,-3.5410000000000004,3.0899999999999888,0.0,3.82825,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,93.6,0.0,-4.2,0.0,0.0,0.0,0.0,0.0,0.42375,0.0,0.0,0.0,-7.026624999999999,0.0,0.0,-0.000625,0.0,-16.035,30.629999999999995,0.0,0.9,0.0,0.0,0.0,277.824,0.0,-2.356625,0.0,7.6771249999999975,79.73075,48.75,0.0,0.0,68.064,285.967625,79.73075,109.84924999999998,0.0,0.0,0.0,0.0,15:00:00
11,2020-01-12,ALB2,2,2322.0,0,104.04,-10.291,0.0,188.840125,15.5,13.278,0.0,0.0,0.0,-1.1799999999999926,0.0,0.0,41.035,0.0,0.0,0.0,265.302,0.0,0.0,0.0,-1.85,0.0,0.0,131.083,13.369875,0.0,0.0,0.0,253.71625,0.0,-40.433,-0.5699999999999932,0.0,1.789,0.0,0.0,0.0,-0.017,0.0,0.0,0.0,12.5,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.24225,0.0,0.0,-0.009625000000000002,0.0,-93.156,-0.7399999999999949,0.0,0.857,0.0,0.0,0.0,175.655,0.0,-23.039375,0.0,0.091875,87.38524999999998,13.370625,0.0,0.0,40.584,324.402,87.38524999999998,104.22825,0.0,0.0,0.0,0.0,15:00:00
12,2020-01-15,ALB2,2,2322.0,0,102.16,-8.68,0.0,201.80875,56.62499999999999,13.072875,0.0,0.0,0.0,-1.8800000000000097,0.0,0.0,38.755,0.0,0.0,0.0,271.866,0.0,0.0,0.0,-4.2250000000000005,0.0,0.0,58.855,13.160875,0.0,0.0,0.0,266.955625,0.0,13.692,-0.6099999999999994,0.0,1.359125,0.0,0.0,0.0,0.006,0.0,0.0,0.0,84.7,0.0,-5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.887125,0.0,0.0,-0.003125,0.0,-77.523,-1.2300000000000042,0.0,0.9,0.0,0.0,0.0,198.305,0.0,-7.968625000000002,0.0,0.087875,84.5585,13.145,0.0,0.0,38.441,322.10375,84.5585,102.254375,0.0,0.0,0.0,0.0,15:00:00
13,2020-01-16,ALB2,2,2322.0,0,102.1,-9.571,0.0,195.68900000000002,60.20000000000001,19.13375,0.0,0.0,0.0,-1.2900000000000065,0.0,0.0,43.887,0.0,0.0,0.0,268.22,0.0,0.0,0.0,-4.75,0.0,0.0,67.32300000000001,19.53775,0.0,0.0,0.0,259.5845,0.0,-2.242,-0.060000000000002274,0.0,2.3385,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,58.3,0.0,-3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.735,0.0,0.0,0.001,0.0,-72.12899999999998,-0.6700000000000017,0.0,0.883,0.0,0.0,0.0,200.088,0.0,2.7985,0.0,0.404,84.44125,19.471125,0.0,0.0,43.38800000000001,322.2222500000001,84.44125,102.122,0.0,0.0,0.0,0.0,15:00:00
14,2020-01-26,ALB2,2,2322.0,0,100.17,-6.7429999999999986,0.0,237.515875,79.925,41.2505,0.0,0.0,0.0,-0.539999999999992,0.0,0.0,150.24200000000005,0.0,0.0,0.0,279.91700000000003,0.0,0.0,0.0,-5.8375,0.0,0.0,8.51,58.213125,0.0,0.0,0.0,267.47875,0.0,-2.927,-0.04999999999999717,0.0,10.806875000000002,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,76.1,0.0,-4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.799875,0.0,0.0,0.001375,0.0,-36.733,-0.2399999999999949,0.0,0.8290000000000001,0.0,0.0,0.0,248.141,0.0,3.555125,0.0,16.962625,83.646625,61.67675,0.0,0.0,119.354,320.488875,83.646625,100.19475,0.0,0.0,0.0,0.0,15:00:00
15,2020-01-25,ALB2,2,2322.0,0,100.22,-9.222,0.0,227.284375,68.83749999999999,38.787625,0.0,0.0,0.0,-0.8200000000000074,0.0,0.0,116.162,0.0,0.0,0.0,269.644,0.0,0.0,0.0,-4.95,0.0,0.0,28.474,41.15325,0.0,0.0,0.0,268.426875,0.0,1.117,-0.18999999999999773,0.0,6.942375,0.0,0.0,0.0,0.001,0.0,0.0,0.0,70.9,0.0,-4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.532875,0.0,0.0,-1.0842021724855042e-19,0.0,-52.22,-0.4899999999999949,0.0,0.8240000000000001,0.0,0.0,0.0,221.855,0.0,0.2376250000000003,0.0,2.365375,83.71187499999998,41.651375,0.0,0.0,110.001,320.365875,83.71187499999998,100.24175,0.0,0.0,0.0,0.0,15:00:00
16,2020-03-11,ALB2,2,2322.0,1,157.91,0.0,0.0,266.212875,77.65,38.79662500000001,0.0,0.13767335824203664,0.13767335824203664,3.8199999999999936,20.340000000000003,0.8988095238095238,91.575,0.8988095238095238,0.0,20.340000000000003,309.3520000000001,7.0,61.50000000000001,0.266,2.1500000000000004,0.0,61.50000000000001,10.648,216.1565,7.0,0.0,7.0,308.82587499999994,0.0,1.55,-9.759999999999991,0.0,48.22725,1.0,75.5,1.0,0.0,0.13767335824203664,61.50000000000001,0.13767335824203664,92.4,0.0,1.3,20.340000000000003,2.164137828696442,7.0,2.164137828696442,1.0,0.18175,1.0,20.340000000000003,0.0,-0.116375,0.118875,0.0,-0.00075,2.164137828696442,-18.004,-2.0,0.8988095238095238,0.77,61.50000000000001,0.0,2.164137828696442,297.2870000000001,75.5,1.179124999999997,75.5,177.359875,124.293625,263.923,0.8988095238095238,0.0,13.461,495.9615,124.293625,165.666,75.5,0.0,0.0,0.0,18:00:00
17,2020-02-13,ALB2,2,2322.0,0,119.87,-8.607000000000001,0.0,200.77225,58.1625,40.56875,0.0,0.0,0.0,0.3800000000000097,0.0,0.0,257.344,0.0,0.0,0.0,272.165,0.0,0.0,0.0,-7.5625,0.0,0.0,59.851000000000006,41.23125,0.0,0.0,0.0,254.916625,0.0,-36.706,-0.2399999999999949,0.0,6.544374999999999,0.0,0.0,0.0,-0.015,0.0,0.0,0.0,40.9,0.0,-4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.005999999999998,0.0,0.0,-0.00375,0.0,-40.482,-0.5,0.0,0.848,0.0,0.0,0.0,236.405,0.0,-7.875375000000001,0.0,0.6625,103.779125,54.24725,0.0,0.0,152.039,386.505875,103.779125,119.9315,0.0,0.0,0.0,0.0,15:00:00
18,2020-01-22,ALB2,2,2322.0,0,101.04,-11.511,0.0,189.4825,31.51250000000001,16.654125,0.0,0.0,0.0,-0.7399999999999949,0.0,0.0,52.22,0.0,0.0,0.0,260.408,0.0,0.0,0.0,-1.775,0.0,0.0,84.955,16.83025,0.0,0.0,0.0,261.693,0.0,-7.9929999999999986,-0.3999999999999915,0.0,2.684375,0.0,0.0,0.0,-0.003,0.0,0.0,0.0,32.8,0.0,-1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.203499999999998,0.0,0.0,-0.005625000000000002,0.0,-89.499,-0.7199999999999989,0.0,0.826,0.0,0.0,0.0,174.393,0.0,-13.41475,0.0,0.17625,83.9085,16.824875,0.0,0.0,51.474,321.75450000000006,83.9085,101.1235,0.0,0.0,0.0,0.0,15:00:00
19,2020-01-27,ALB2,2,2322.0,0,100.16,-8.135,0.0,217.46825,69.1,26.17175,0.0,0.0,0.0,-0.25,0.0,0.0,189.577,0.0,0.0,0.0,274.113,0.0,0.0,0.0,-5.775,0.0,0.0,38.383,26.356875,0.0,0.0,0.0,260.628625,0.0,-7.5310000000000015,-0.010000000000005116,0.0,4.592625,0.0,0.0,0.0,-0.004,0.0,0.0,0.0,57.0,0.0,-3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.494375000000002,0.0,0.0,0.000375,0.0,-40.515,-0.060000000000002274,0.0,0.826,0.0,0.0,0.0,238.359,0.0,1.87825,0.0,0.18525,83.58250000000002,34.908125,0.0,0.0,120.41,320.61825,83.58250000000002,100.153875,0.0,0.0,0.0,0.0,15:00:00
20,2020-04-24,ALB2,2,2322.0,0,75.21,0.0,0.0,266.672,61.1125,122.254875,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-12.850000000000007,-8.400000000000006,-0.015476190476189087,490.775,-0.01774891774891696,0.0,-3.4000000000000057,309.3520000000001,0.4000000000000004,-0.7000000000000028,1.395,3.025,-0.2999999999999972,47.5,91.116,209.396875,0.6000000000000005,0.0,0.8000000000000007,304.36049999999994,-0.5999999999999943,-58.145,-3.4100000000000112,69.39999999999999,65.71849999999999,1.0,-17.199999999999992,0.0,0.0,-2.220446049250313e-16,3.700000000000003,0.9999999999999998,46.8,0.0,5.7,73.75,0.025716363191591436,7.9,0.08798472219004982,0.0,0.0,0.0,-12.829999999999998,41.448,-1.12975,1.288125,0.0,-0.000125,0.08729940107488543,-38.364,-8.410000000000009,-0.007867494824015608,0.69,-0.5000000000000071,0.0,0.8478982692688056,276.511,-26.0,-23.94075,176.8,87.14199999999998,64.298,224.33787500000003,4.2095238095238106,1.0,296.643,317.88325,64.298,76.29175000000002,-9.199999999999989,-0.4000000000000057,0.0,0.0,15:00:00
21,2020-01-17,ALB2,2,2322.0,0,101.99,-11.787,0.0,192.42,72.725,16.55275,0.0,0.0,0.0,-0.7800000000000011,0.0,0.0,65.597,0.0,0.0,0.0,259.312,0.0,0.0,0.0,-6.9875000000000025,0.0,0.0,48.161,16.64375,0.0,0.0,0.0,258.15625,0.0,9.616,-0.10999999999999943,0.0,1.890875,0.0,0.0,0.0,0.003,0.0,0.0,0.0,73.3,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.07925,0.0,0.0,0.002375,0.0,-64.933,-0.1700000000000017,0.0,0.8809999999999999,0.0,0.0,0.0,198.341,0.0,5.5858750000000015,0.0,0.091125,84.331,16.80475,0.0,0.0,63.875,322.32812499999994,84.331,102.00575,0.0,0.0,0.0,0.0,15:00:00
22,2020-01-20,ALB2,2,2322.0,0,101.76,-19.527,0.0,165.094875,74.425,18.237875000000006,0.0,0.0,0.0,-0.2299999999999897,0.0,0.0,57.012,0.0,0.0,0.0,229.935,0.0,0.0,0.0,-15.2625,0.0,0.0,70.382,18.464375,0.0,0.0,0.0,224.8225,0.0,-1.912,-0.019999999999996014,0.0,1.854125,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,54.8,0.0,-13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.984,0.0,0.0,0.0006250000000000001,0.0,-78.961,-0.0899999999999892,0.0,0.899,0.0,0.0,0.0,154.05200000000005,0.0,1.206125,0.0,0.2265,84.04675,18.49325,0.0,0.0,55.956,322.702625,84.04675,101.75200000000001,0.0,0.0,0.0,0.0,15:00:00
23,2020-01-26,ALB2,1,2322.0,0,105.69,-7.101,0.0,237.515875,79.925,41.2505,0.0,0.0,0.0,-0.5300000000000011,0.0,0.0,150.24200000000005,0.0,0.0,0.0,278.415,0.0,0.0,0.0,-5.8375,0.0,0.0,9.679,41.2505,0.0,0.0,0.0,266.13725,0.0,-2.231,-0.04999999999999717,0.0,6.829125,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,76.1,0.0,-4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.119,0.0,0.0,0.0015,0.0,-35.23,-0.21999999999999886,0.0,0.8420000000000001,0.0,0.0,0.0,248.141,0.0,3.88025,0.0,0.0,74.839875,61.67675,0.0,0.0,119.354,343.254875,74.839875,105.71975,0.0,0.0,0.0,0.0,15:00:00
24,2020-01-21,ALB2,1,2322.0,0,106.91,-10.168,0.0,180.754625,32.2625,23.827125,0.0,0.0,0.0,-0.4300000000000068,0.0,0.0,124.389,0.0,0.0,0.0,265.79900000000004,0.0,0.0,0.0,-5.525,0.0,0.0,67.235,23.827125,0.0,0.0,0.0,252.417875,0.0,-12.439,-0.3100000000000023,0.0,4.499874999999999,0.0,0.0,0.0,-0.005,0.0,0.0,0.0,35.2,0.0,-2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.581,0.0,0.0,-0.006,0.0,-67.46600000000001,-0.3500000000000085,0.0,0.8059999999999999,0.0,0.0,0.0,202.376,0.0,-14.44975,0.0,0.0,75.11575,26.043000000000006,0.0,0.0,107.366,345.1365,75.11575,106.977,0.0,0.0,0.0,0.0,15:00:00
25,2020-01-25,ALB2,1,2322.0,0,105.74,-9.36,0.0,227.284375,68.83749999999999,38.787625,0.0,0.0,0.0,-0.8200000000000074,0.0,0.0,116.162,0.0,0.0,0.0,269.081,0.0,0.0,0.0,-4.95,0.0,0.0,29.409,38.787625,0.0,0.0,0.0,268.179125,0.0,1.547,-0.1700000000000017,0.0,6.006625,0.0,0.0,0.0,0.001,0.0,0.0,0.0,70.9,0.0,-4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.5935,0.0,0.0,-1.0842021724855042e-19,0.0,-51.658,-0.4800000000000039,0.0,0.838,0.0,0.0,0.0,221.855,0.0,0.4450000000000001,0.0,0.0,74.894125,41.651375,0.0,0.0,110.001,343.1195,74.894125,105.762625,0.0,0.0,0.0,0.0,15:00:00
26,2020-02-13,ALB2,1,2322.0,0,102.08,-8.734,0.0,200.77225,58.1625,40.56875,0.0,0.0,0.0,-0.7000000000000028,0.0,0.0,257.344,0.0,0.0,0.0,271.642,0.0,0.0,0.0,-7.5625,0.0,0.0,61.383,40.56875,0.0,0.0,0.0,254.851875,0.0,-35.035,-0.10000000000000853,0.0,5.248875,0.0,0.0,0.0,-0.014,0.0,0.0,0.0,40.9,0.0,-4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.023,0.0,0.0,-0.00375,0.0,-39.959,-0.210000000000008,0.0,0.877,0.0,0.0,0.0,236.405,0.0,-7.6877499999999985,0.0,0.0,74.00475,54.24725,0.0,0.0,152.039,338.905125,74.00475,102.12125,0.0,0.0,0.0,0.0,15:00:00
27,2020-04-30,ALB2,1,2322.0,0,78.17,0.0,0.0,278.97325,91.175,127.849625,0.0,0.0,0.0,-4.019999999999996,-1.7099999999999935,-0.6790115532734284,292.481,-0.3875168690958168,-2.180000000000007,-0.10999999999999943,309.3520000000001,-1.0,-13.900000000000002,1.223,-0.7124999999999999,0.0,22.7,14.905,134.555875,-2.7,0.4800000000000039,-2.7,299.96624999999995,-0.20000000000000284,-8.76,-0.10999999999999943,58.09999999999999,37.184125,1.0,-34.200000000000045,0.0,0.0,2.220446049250313e-16,-29.299999999999994,1.0,85.4,0.0,1.3,77.15,0.0873952266171798,4.2,-0.02423149049660089,0.0,0.0,0.0,-4.009999999999991,4.147,-2.131125,1.150375,1.0799999999999983,0.0013750000000000006,-0.013993174879506355,-12.168,-1.7199999999999989,-0.6756578947368443,0.731,-25.0,0.6200000000000045,0.7345419799721415,303.242,-38.60000000000005,-3.3824999999999994,136.29999999999995,6.706125,66.811375,139.1075,3.5868421052631567,1.0,283.706,322.2423750000001,66.811375,78.211375,-18.700000000000017,-0.10000000000000142,0.0,0.0,15:00:00
